index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,wongnai_reviews_seacrowd_text,0,eng,0.20377236820893116,0.20377236820893116,0.20377236820893116,0.20377236820893116,0.29725314457461016,0.3869772334703444,0.11790850947571063,0.5125130666770946,0.20377236820893116,0.1416216434048971
1,wongnai_reviews_seacrowd_text,1,eng,0.42479445429630824,0.42479445429630824,0.42479445429630824,0.42479445429630824,0.29849635690995113,0.38919932952527814,0.18864806808146956,0.4861662363286256,0.42479445429630824,0.34768459320880385
2,wongnai_reviews_seacrowd_text,2,eng,0.15234563920683541,0.15234563920683541,0.15234563920683541,0.15234563920683541,0.320187878144445,0.33774953489803256,0.11468621295647378,0.5474440376970791,0.15234563920683541,0.13477471400703556
3,m3exam_tha_seacrowd_qa,0,eng,0.42988929889298894,0.42988929889298894,0.42988929889298894,0.42988929889298894,0.3497814470752615,0.3787356238794598,0.35882774258315986,0.39803422445299846,0.42988929889298894,0.4076242328715925
4,m3exam_tha_seacrowd_qa,1,eng,0.4109778597785978,0.4109778597785978,0.4109778597785978,0.4109778597785978,0.34073473897296946,0.3619198044395915,0.34290544063764716,0.38747345650855225,0.4109778597785978,0.38990595251798393
5,m3exam_tha_seacrowd_qa,2,eng,0.44095940959409596,0.44095940959409596,0.44095940959409596,0.44095940959409596,0.37403598152328793,0.3906975592806218,0.36940075649231613,0.4278546649725012,0.44095940959409596,0.4194791940949126
6,sib_200_tha_Thai_seacrowd_text,0,eng,0.8578431372549019,0.8578431372549019,0.8578431372549019,0.8578431372549019,0.8976830136983318,0.8185025397718897,0.8439982964632574,0.8744927746461293,0.8578431372549019,0.8546411836486942
7,sib_200_tha_Thai_seacrowd_text,1,eng,0.8284313725490197,0.8284313725490197,0.8284313725490197,0.8284313725490197,0.8586773789975759,0.7817783094098882,0.7988700341703997,0.8413486563207657,0.8284313725490197,0.8207031629616048
8,sib_200_tha_Thai_seacrowd_text,2,eng,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.8074933819681718,0.7935739080321124,0.7887227611748518,0.8160096259469097,0.7941176470588235,0.7938771980087439
9,belebele_tha_thai_seacrowd_qa,0,eng,0.7622222222222222,0.7622222222222222,0.7622222222222222,0.7622222222222222,0.7714921841864764,0.7607446586015345,0.7629246248252977,0.770112909975695,0.7622222222222222,0.7630606723324419
10,belebele_tha_thai_seacrowd_qa,1,eng,0.6977777777777778,0.6977777777777778,0.6977777777777778,0.6977777777777778,0.706766778234796,0.694131504216411,0.6950919046294479,0.7076920483542651,0.6977777777777778,0.6977896919443196
11,belebele_tha_thai_seacrowd_qa,2,eng,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.7430791269802333,0.7390083518600878,0.7389537267173691,0.7438915935107248,0.7388888888888889,0.7393502677305825
12,wisesight_thai_sentiment_seacrowd_text,0,eng,0.4099588169225009,0.4099588169225009,0.4099588169225009,0.4099588169225009,0.41659758161871696,0.44054048863065065,0.31978555875738185,0.6240048170581857,0.4099588169225009,0.3479803024917336
13,wisesight_thai_sentiment_seacrowd_text,1,eng,0.3897416697865968,0.3897416697865968,0.3897416697865968,0.3897416697865968,0.4041156670275452,0.41834488517618074,0.29638227190955424,0.613892717413037,0.3897416697865968,0.3051195139863528
14,wisesight_thai_sentiment_seacrowd_text,2,eng,0.3672781729689255,0.3672781729689255,0.3672781729689255,0.3672781729689255,0.42088104606023735,0.5097700128032345,0.34291193587960694,0.570056858206624,0.3672781729689255,0.34130576685954744
15,xnli.tha_seacrowd_pairs,0,eng,0.4121756487025948,0.4121756487025948,0.4121756487025948,0.4121756487025948,0.3928820432355389,0.41217564870259477,0.3857232278058957,0.3928820432355389,0.4121756487025948,0.3857232278058957
16,xnli.tha_seacrowd_pairs,1,eng,0.3534930139720559,0.3534930139720559,0.3534930139720559,0.3534930139720559,0.4061368347918055,0.35349301397205585,0.21975056381670777,0.4061368347918055,0.3534930139720559,0.2197505638167078
17,xnli.tha_seacrowd_pairs,2,eng,0.33532934131736525,0.33532934131736525,0.33532934131736525,0.33532934131736525,0.42763535443692113,0.3353293413173653,0.17531831816448382,0.42763535443692113,0.33532934131736525,0.17531831816448384
18,xcopa_tha_seacrowd_qa,0,eng,0.504,0.504,0.504,0.504,0.5058275058275058,0.504,0.4618055555555556,0.5058275058275058,0.504,0.4618055555555555
19,xcopa_tha_seacrowd_qa,1,eng,0.51,0.51,0.51,0.51,0.5170863063506383,0.51,0.4533178030962295,0.5170863063506383,0.51,0.45331780309622943
20,xcopa_tha_seacrowd_qa,2,eng,0.504,0.504,0.504,0.504,0.5047619047619047,0.504,0.48333333333333334,0.5047619047619049,0.504,0.48333333333333334
